epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.1003,1.30665,0.6925,0.9775,0.86073,0.00029997,0.00029997,0.00029997
2,45.5986,0.84417,0.7175,0.985,0.75034,0.000591031,0.000591031,0.000591031
3,65.9745,0.72891,0.75,0.99,0.71608,0.000870094,0.000870094,0.000870094
4,87.875,0.69363,0.745,0.9875,0.6785,0.000855005,0.000855005,0.000855005
5,108.453,0.64005,0.775,0.995,0.61745,0.000837007,0.000837007,0.000837007
6,129.361,0.58447,0.7825,0.9925,0.61719,0.000819009,0.000819009,0.000819009
7,150.794,0.56028,0.76,0.995,0.63236,0.000801011,0.000801011,0.000801011
8,171.373,0.47631,0.7775,0.9975,0.62331,0.000783013,0.000783013,0.000783013
9,194.019,0.46293,0.7275,0.9925,0.64932,0.000765014,0.000765014,0.000765014
10,214.734,0.43569,0.805,0.99,0.61582,0.000747016,0.000747016,0.000747016
11,237.259,0.39715,0.805,0.99,0.69193,0.000729018,0.000729018,0.000729018
12,257.563,0.38985,0.82,0.9925,0.6644,0.00071102,0.00071102,0.00071102
13,279.99,0.36096,0.8275,0.995,0.59476,0.000693022,0.000693022,0.000693022
14,300.551,0.37465,0.795,0.9925,0.65925,0.000675023,0.000675023,0.000675023
15,322.734,0.33265,0.7775,0.9925,0.72904,0.000657025,0.000657025,0.000657025
16,343.623,0.30936,0.79,0.9975,0.78797,0.000639027,0.000639027,0.000639027
17,365.439,0.30659,0.7875,0.9925,0.65817,0.000621029,0.000621029,0.000621029
18,386.186,0.29688,0.8125,0.9925,0.64491,0.000603031,0.000603031,0.000603031
19,407.857,0.24825,0.8175,0.995,0.64217,0.000585032,0.000585032,0.000585032
20,429.693,0.24393,0.805,0.995,0.67938,0.000567034,0.000567034,0.000567034
21,450.419,0.21842,0.82,0.995,0.68548,0.000549036,0.000549036,0.000549036
22,472.946,0.21925,0.835,0.995,0.69623,0.000531038,0.000531038,0.000531038
23,493.682,0.20665,0.82,0.9975,0.72254,0.00051304,0.00051304,0.00051304
24,516.13,0.19279,0.8225,0.9925,0.72028,0.000495041,0.000495041,0.000495041
25,536.603,0.19521,0.8225,0.9925,0.71362,0.000477043,0.000477043,0.000477043
26,558.803,0.17197,0.8125,0.9925,0.83812,0.000459045,0.000459045,0.000459045
27,579.759,0.18236,0.8275,0.995,0.71751,0.000441047,0.000441047,0.000441047
28,602.004,0.18225,0.8375,0.9925,0.74616,0.000423049,0.000423049,0.000423049
29,622.524,0.15056,0.82,0.995,0.84719,0.00040505,0.00040505,0.00040505
30,645.062,0.14937,0.8075,0.995,0.8994,0.000387052,0.000387052,0.000387052
31,665.625,0.15941,0.815,0.9975,0.78979,0.000369054,0.000369054,0.000369054
32,688.017,0.13706,0.81,0.995,0.81673,0.000351056,0.000351056,0.000351056
